t,relativeL2
0,1.4959185890006665e-08
1,1.4769539369297036e-08
2,0.013729998841881752
3,0.019224043935537338
4,0.022204406559467316
5,0.024964872747659683
6,0.027328619733452797
7,0.030134620144963264
8,0.03305821493268013
9,0.03620006516575813
10,0.03625626489520073
11,0.03997495025396347
12,0.04334194213151932
13,0.048115864396095276
14,0.049518484622240067
15,0.04976234957575798
16,0.051853034645318985
17,0.05146366357803345
18,0.052010394632816315
19,0.054422229528427124
20,0.055244624614715576
21,0.05429082363843918
22,0.05936326086521149
23,0.060839638113975525
24,0.06093461066484451
25,0.061644911766052246
26,0.0630253478884697
27,0.06340695917606354
28,0.06082676723599434
29,0.06327205151319504
30,0.06154705584049225
31,0.06313802301883698
32,0.06235109642148018
33,0.06259383261203766
34,0.06272231042385101
35,0.06414959579706192
36,0.06396964192390442
37,0.0657312422990799
38,0.06669292598962784
39,0.06671866029500961
40,0.06922304630279541
41,0.07040615379810333
42,0.06949537247419357
43,0.07248835265636444
44,0.07382993400096893
45,0.07260724157094955
46,0.07264050096273422
47,0.07440067082643509
48,0.07400231808423996
49,0.07623694837093353
50,0.07325126230716705
51,0.07354088872671127
52,0.07179747521877289
53,0.07087405771017075
54,0.0687132403254509
55,0.07118503004312515
56,0.07083925604820251
57,0.07074236869812012
58,0.07280101627111435
59,0.07158108055591583
60,0.07425946742296219
61,0.0746040791273117
62,0.07557665556669235
63,0.0738687738776207
64,0.07191204279661179
65,0.07148853689432144
66,0.07045350968837738
67,0.07109306752681732
68,0.07026635110378265
69,0.06865215301513672
70,0.06945100426673889
71,0.06922981888055801
72,0.07158690690994263
73,0.06912977248430252
74,0.06986182183027267
75,0.06813831627368927
76,0.06920750439167023
77,0.07061856240034103
78,0.07228434830904007
79,0.07152164727449417
80,0.07375261187553406
81,0.07379569858312607
82,0.07439948618412018
83,0.07512322813272476
84,0.07777710258960724
85,0.08064240962266922
86,0.08050858974456787
87,0.08350034058094025
88,0.08285681903362274
89,0.08436187356710434
90,0.08418700844049454
91,0.08565700799226761
92,0.08710180968046188
93,0.08564522117376328
94,0.0859910100698471
95,0.0846574455499649
96,0.0877121314406395
97,0.08714225143194199
98,0.08609966188669205
99,0.08592601120471954
100,0.08577775210142136
101,0.08635599911212921
102,0.08743347227573395
103,0.08912163972854614
104,0.0889584943652153
105,0.08995018154382706
106,0.09251286089420319
107,0.09316836297512054
108,0.09438619762659073
109,0.09602943807840347
110,0.09861569106578827
111,0.0994153693318367
112,0.10081813484430313
113,0.1039375588297844
114,0.10175172239542007
115,0.10238204151391983
116,0.1019815057516098
117,0.0994165912270546
118,0.09994003921747208
119,0.09867465496063232
120,0.09693720936775208
121,0.09888679534196854
122,0.09879481792449951
123,0.09694289416074753
124,0.09659942239522934
125,0.09796660393476486
126,0.09843195229768753
127,0.10149659216403961
128,0.09979072213172913
129,0.10374825447797775
130,0.10674884170293808
131,0.10997235029935837
132,0.11215057969093323
133,0.11376069486141205
134,0.11627267301082611
135,0.11948057264089584
136,0.12184875458478928
137,0.12170351296663284
138,0.12206664681434631
139,0.12230387330055237
140,0.1229010820388794
141,0.12493116408586502
142,0.12432553619146347
143,0.12335974723100662
144,0.12472301721572876
145,0.12220573425292969
146,0.1261039823293686
147,0.12571552395820618
148,0.12498963624238968
149,0.12506969273090363
150,0.12891174852848053
151,0.13060103356838226
152,0.13134776055812836
153,0.13499204814434052
154,0.13581539690494537
155,0.1368946135044098
156,0.13730838894844055
157,0.14034666121006012
158,0.1405918151140213
159,0.14366932213306427
160,0.14625734090805054
161,0.14658845961093903
162,0.14940154552459717
163,0.1472989022731781
164,0.14603032171726227
165,0.1439821720123291
166,0.14229531586170197
167,0.14099958539009094
168,0.13928577303886414
169,0.13767902553081512
170,0.13803476095199585
171,0.13556204736232758
172,0.13705353438854218
173,0.13732527196407318
174,0.13869185745716095
175,0.1399601697921753
176,0.14172782003879547
177,0.1439141035079956
178,0.14633530378341675
179,0.14652200043201447
180,0.149800106883049
181,0.15159042179584503
182,0.15551529824733734
183,0.15903159976005554
184,0.16113422811031342
185,0.1630597859621048
186,0.1631099134683609
187,0.16615574061870575
188,0.16586346924304962
189,0.1669684648513794
190,0.16684085130691528
191,0.1664491891860962
192,0.16645053029060364
193,0.1668611764907837
194,0.16518786549568176
195,0.16658033430576324
196,0.16409336030483246
197,0.16406050324440002
198,0.16492600739002228
199,0.16547130048274994
200,0.16592837870121002
201,0.16843457520008087
202,0.1710883229970932
203,0.1725848913192749
204,0.1744510531425476
205,0.17752757668495178
206,0.1812659502029419
207,0.18350307643413544
208,0.18712502717971802
209,0.1894795149564743
210,0.19198369979858398
211,0.19413085281848907
212,0.19284287095069885
213,0.19356465339660645
214,0.1913013756275177
215,0.19168415665626526
216,0.18603770434856415
217,0.18581774830818176
218,0.18383796513080597
219,0.18274706602096558
220,0.17986160516738892
221,0.17980636656284332
222,0.17853857576847076
223,0.178230881690979
224,0.17846204340457916
225,0.17760609090328217
226,0.1792163997888565
227,0.18005838990211487
228,0.1839362233877182
229,0.18586550652980804
230,0.18930643796920776
231,0.1932833045721054
232,0.19521115720272064
233,0.1990060806274414
234,0.2008620798587799
235,0.20358452200889587
236,0.20609721541404724
237,0.20739057660102844
238,0.20897027850151062
239,0.20829279720783234
240,0.20875920355319977
241,0.20758111774921417
242,0.2082047313451767
243,0.20754589140415192
244,0.2083834707736969
245,0.20724180340766907
246,0.2079986035823822
247,0.20752809941768646
248,0.2092687487602234
249,0.20999181270599365
250,0.21153809130191803
251,0.21376459300518036
252,0.2148960679769516
253,0.2168077975511551
254,0.21981169283390045
255,0.2212507128715515
256,0.22577723860740662
257,0.22843120992183685
258,0.2320919632911682
259,0.23461706936359406
260,0.23674742877483368
261,0.23908396065235138
262,0.23908834159374237
263,0.23884430527687073
264,0.23727266490459442
265,0.23422187566757202
266,0.2327326238155365
267,0.2307509034872055
268,0.2279093712568283
269,0.22744660079479218
270,0.22729149460792542
271,0.22563408315181732
272,0.22676171362400055
273,0.22662080824375153
274,0.22676396369934082
275,0.22691601514816284
276,0.22890189290046692
277,0.23095472157001495
278,0.23261751234531403
279,0.2373269945383072
280,0.23965980112552643
281,0.24280600249767303
