t,predMSE
0,1.6779315712246314e-17
1,1.6424256706114052e-17
2,1.5995803618591185e-17
3,0.0022578982170671225
4,0.00368345039896667
5,0.002433240646496415
6,0.005391815677285194
7,0.0033941171132028103
8,0.0037889087107032537
9,0.00583643326535821
10,0.005165514536201954
11,0.004009764641523361
12,0.004417211748659611
13,0.005934437271207571
14,0.00621354766190052
15,0.00623413035646081
16,0.006206877529621124
17,0.008468965999782085
18,0.0077435621060431
19,0.009053394198417664
20,0.00923243910074234
21,0.00860096886754036
22,0.00942886620759964
23,0.010162183083593845
24,0.009995528496801853
25,0.010023633949458599
26,0.009198186919093132
27,0.011688495054841042
28,0.011956964619457722
29,0.010080807842314243
30,0.01146974228322506
31,0.012564693577587605
32,0.011277902871370316
33,0.012783626094460487
34,0.012980958446860313
35,0.013842832297086716
36,0.015736214816570282
37,0.014985155314207077
38,0.016351336613297462
39,0.01783701218664646
40,0.01508637797087431
41,0.01551586389541626
42,0.017796363681554794
43,0.017337018623948097
44,0.01685366779565811
45,0.017847107723355293
46,0.017901919782161713
47,0.01937214285135269
48,0.018871014937758446
49,0.021262312307953835
50,0.020887866616249084
51,0.02178868092596531
52,0.02120175026357174
53,0.022443631663918495
54,0.022899363189935684
55,0.022368382662534714
56,0.023592259734869003
57,0.0235570278018713
58,0.02682151272892952
59,0.024798762053251266
60,0.027133217081427574
61,0.02740263193845749
62,0.026410020887851715
63,0.02734161540865898
64,0.027991170063614845
65,0.02776413783431053
66,0.02730165235698223
67,0.02679472416639328
68,0.025399191305041313
69,0.02738191932439804
70,0.02663632109761238
71,0.025719624012708664
72,0.02701301872730255
73,0.025922253727912903
74,0.02505318820476532
75,0.025491826236248016
76,0.027501046657562256
77,0.026350265368819237
78,0.02973940595984459
79,0.02531689777970314
80,0.024619193747639656
81,0.02641306072473526
82,0.02490815334022045
83,0.02517823316156864
84,0.025478877127170563
85,0.02692554146051407
86,0.02318512462079525
87,0.025201205164194107
88,0.02461865544319153
89,0.02235729806125164
90,0.023273536935448647
91,0.02537190355360508
92,0.02347293123602867
93,0.02271673083305359
94,0.02166614681482315
95,0.02067471481859684
96,0.02170960232615471
97,0.020080048590898514
98,0.021195651963353157
99,0.01922093890607357
100,0.020014792680740356
101,0.01853311061859131
102,0.018055491149425507
103,0.018582476302981377
104,0.01678503304719925
105,0.01638726331293583
106,0.016022751107811928
107,0.01580165885388851
108,0.01622917875647545
109,0.01626121997833252
110,0.015433631837368011
111,0.018518149852752686
112,0.017085416242480278
113,0.01658129319548607
114,0.01756782829761505
115,0.015502206981182098
116,0.015264547429978848
117,0.014915253967046738
