t,predContinuityMSE
0,0.0005574573879130185
1,0.0006366018787957728
2,0.0006058056023903191
3,0.0053688473999500275
4,0.0040567428804934025
5,0.0019147730199620128
6,0.00940782018005848
7,0.004041737411171198
8,0.00886895414441824
9,0.0024596103467047215
10,0.0011042288970202208
11,0.004031829535961151
12,0.005128508433699608
13,0.002193536376580596
14,0.0024035226088017225
15,0.009649594314396381
16,0.0014652370009571314
17,0.0013293212978169322
18,0.0006749378517270088
19,0.0013095643371343613
20,0.00032611319329589605
21,0.0017685418715700507
22,0.004014982376247644
23,0.007704984862357378
24,0.003606892889365554
25,0.007948248647153378
26,0.008571861311793327
27,0.00405379431322217
28,0.003567367559298873
29,0.0007655626977793872
30,0.001558594754897058
31,0.002456997986882925
32,0.011920684948563576
33,0.0151022057980299
34,0.0050768121145665646
35,0.00709747988730669
36,0.0012069622753188014
37,0.00035837508039548993
38,0.004484584555029869
39,0.001268889056518674
40,0.005095804110169411
41,0.0008613131358288229
42,0.006723820231854916
43,0.0023299050517380238
44,0.011181463487446308
45,0.003065265016630292
46,0.005705126095563173
47,0.003376492066308856
48,0.0005182888708077371
49,0.0005523978034034371
50,0.009667463600635529
51,0.004498306196182966
52,0.003620165167376399
53,0.01927858777344227
54,0.015219438821077347
55,0.005599836818873882
56,0.008164353668689728
57,0.005018129479140043
58,0.00904413778334856
59,0.0005271670524962246
60,0.0051339855417609215
61,0.0033081802539527416
62,0.012793648056685925
63,0.0021834238432347775
64,0.003969272132962942
65,0.0027481508441269398
66,0.0063638282008469105
67,0.009097825735807419
68,0.001856249407865107
69,0.00041834957664832473
70,0.0011161529691889882
71,0.002106043044477701
72,0.0027835769578814507
73,0.006796887144446373
74,0.011158899404108524
75,0.003739685518667102
76,0.002837143139913678
77,0.01253526657819748
78,0.008417461067438126
79,0.0032797246240079403
80,0.0019524063682183623
81,0.015906451269984245
82,0.021060118451714516
83,0.006692647002637386
84,0.0003978530294261873
85,0.007164587266743183
86,0.015993617475032806
87,0.0008080245461314917
88,0.0027192712295800447
89,0.005678900051862001
90,0.009174363687634468
91,0.0022855382412672043
92,0.0002995060058310628
93,0.003118840977549553
94,0.013090488500893116
95,0.004008212126791477
96,0.007454644422978163
97,0.0006204464589245617
98,0.008187424391508102
99,0.0049282158724963665
100,0.002141543896868825
101,0.004177859518676996
102,0.002579355612397194
103,0.0027832582127302885
104,0.0011745048686861992
105,0.0022110030986368656
106,0.009924287907779217
107,0.008059410378336906
108,0.00119609700050205
109,0.0029682819731533527
110,0.00981854647397995
111,0.002247708151116967
112,0.00037761509884148836
113,0.0038170435000211
114,0.004311560187488794
115,0.0011122989235445857
116,0.009943351149559021
117,0.0009208725532516837
118,0.007658003363758326
119,0.0005438030348159373
120,0.000994945876300335
121,0.0035367622040212154
122,0.011140095070004463
123,0.00048393826000392437
124,0.0033886884339153767
125,0.001027585007250309
126,0.004301400389522314
127,0.006939055863767862
128,0.0066224513575434685
129,0.010426615364849567
130,0.0052596284076571465
131,0.004783120937645435
132,0.007724618073552847
133,0.005515500903129578
134,0.00029746521613560617
135,0.0017828332493081689
136,0.002988207619637251
137,0.005333147011697292
138,0.006763364654034376
139,0.012314100749790668
140,0.005530635826289654
141,0.0006530468235723674
142,0.0028783860616385937
143,0.0011464181588962674
144,0.0016698091058060527
145,0.0024378506932407618
146,0.0032714763656258583
147,0.0010110375005751848
148,0.00631219195201993
149,0.00233550276607275
150,0.005164646543562412
151,0.0006194434245117009
152,0.0011832322925329208
153,0.006863769609481096
154,0.004582516383379698
155,0.007668918929994106
156,0.00663070660084486
157,0.0005162913003005087
158,0.0008603674359619617
159,0.0014075867366045713
160,0.0006413963856175542
161,0.004376696422696114
162,0.0037262733094394207
163,0.0019916563760489225
164,0.004592771176248789
165,0.0015833642100915313
166,0.00539318798109889
