t,relL2
0,1.3161536873495221e-08
1,1.3125964020302828e-08
2,0.015313145452350036
3,0.016927215906529642
4,0.02154967215824293
5,0.026997642708926343
6,0.029362362997242687
7,0.03457373022962357
8,0.037359223771048194
9,0.043111337263688106
10,0.04622335099654201
11,0.04999114679281831
12,0.05176800959075749
13,0.05378625181022871
14,0.057008317212097315
15,0.05774351952497832
16,0.05922429612043317
17,0.06081917199751223
18,0.06392683863619049
19,0.06763128295395635
20,0.06774059565352933
21,0.06867238150635885
22,0.07209091446864598
23,0.07432973334911899
24,0.07495723116242685
25,0.07465058958114934
26,0.07552033426690034
27,0.07641768135052043
28,0.07661563764506352
29,0.07836818089604791
30,0.07866347345872694
31,0.0794772856866582
32,0.08280112113785222
33,0.0820688403689355
34,0.08370831197357145
35,0.08403865566292949
36,0.08676407259074326
37,0.09039109231809458
38,0.08867223139814998
39,0.09355979787397983
40,0.0906301812748638
41,0.09320679516559767
42,0.09265459485207983
43,0.09319059166833991
44,0.09329841919099191
45,0.09532792019213468
46,0.09799416500303955
47,0.09775092374317099
48,0.09928083507698011
49,0.10176268388580142
50,0.10306300114993146
51,0.10062344750964877
52,0.10377223741734284
53,0.1010607716204989
54,0.10005983392676612
55,0.10111210231850817
56,0.10172038736224534
57,0.10429904853098375
58,0.10572719418673197
59,0.10714780258565157
60,0.10822758953723124
61,0.1078868552286359
62,0.1104600321427758
63,0.11044237725151469
64,0.11115502554854506
65,0.11093582461384408
66,0.11161308202287923
67,0.10959056457651914
68,0.10946460541401597
69,0.1090525920465042
70,0.10739555302554889
71,0.10811524012598653
72,0.1067557103256215
73,0.10709885901739646
74,0.10511632643236761
75,0.10595195919100867
76,0.10266208988264551
77,0.1044816679941992
78,0.10136486745540774
79,0.1020214709480135
80,0.10351200849707154
81,0.10427683610051605
82,0.105093841921949
83,0.10476732366988147
84,0.10601667126775789
85,0.10525051475670902
86,0.10712584937158964
87,0.10848721570068993
88,0.10996989145232168
89,0.11125292983581114
90,0.11414972470799123
91,0.11474276542034789
92,0.11582491252017095
93,0.11785924186090604
94,0.11836178446774989
95,0.11904724523526697
96,0.11813763411094588
97,0.11939204347843224
98,0.11814513986567428
99,0.11767237125416492
100,0.12075706603493763
101,0.11752657119181861
102,0.12209696246812567
103,0.11998656787406474
104,0.11997533953682182
105,0.12086665743366358
106,0.12154260782244482
107,0.12387402589337806
108,0.12479180859623958
109,0.1245311559700385
110,0.126492038591158
111,0.12641044550182026
112,0.1282833872518957
113,0.12856071249154105
114,0.12754987517431454
115,0.12689395458751745
116,0.126176171583439
117,0.12433880153265593
118,0.12396252727959622
119,0.1222831114542593
120,0.1205093499677526
121,0.11917992779262061
122,0.12031135569055991
123,0.11742014618834787
124,0.12109411796356251
125,0.11903752986292757
126,0.11932495811071782
127,0.12152608797597426
128,0.12162425978975937
129,0.12193492967515573
130,0.12334955546131669
131,0.12364518327424134
132,0.12594238626714624
133,0.12596854203484614
134,0.12938242604537767
135,0.13108350210258926
136,0.13103055611608583
137,0.13151846890007896
138,0.1328459537223091
139,0.13140320397861624
140,0.13331639798345202
141,0.13303139067308037
142,0.13537120132099772
143,0.13250456248186754
144,0.13289715894118412
145,0.13671843122531074
146,0.13508611373165366
147,0.13719059401701522
148,0.1367441943764311
149,0.13839804030036099
150,0.1382729512081554
151,0.14083596542840757
152,0.14201034749340274
153,0.14342743990664394
154,0.1412813018994219
155,0.1417370929736336
156,0.1434778694033167
157,0.1464485335139012
158,0.14718351164026888
159,0.14766055902260908
160,0.14792885470182177
161,0.1469670242120733
162,0.14703538936372063
163,0.14480789810072142
164,0.14450158318358058
165,0.14050326732210064
166,0.14079998064102578
167,0.137042912952792
168,0.13580291471653336
169,0.13438116194977906
170,0.13375675142378746
171,0.13394429331459906
172,0.1335006628561663
173,0.1339703223729088
174,0.13558276603189867
175,0.1404323924804807
176,0.13829856768038257
177,0.14140665532134528
178,0.1395103398452035
179,0.14070912122560236
180,0.14126503890964276
181,0.1418948218934936
182,0.14128394062891741
183,0.1431899174231957
184,0.14224830632001917
185,0.1430772389580301
186,0.14372489201001848
187,0.142174137566541
188,0.14419618714106605
189,0.144181826305479
190,0.14476289979934848
191,0.1453141929736216
192,0.14601008555651612
193,0.14747502593603226
194,0.1489620230057554
195,0.14776605800801304
196,0.15161944038309316
197,0.1535935671394914
198,0.15410907929286113
199,0.1553779688050121
200,0.15576271479012502
201,0.15841726555263563
202,0.1598365279232675
203,0.16160984076475554
204,0.16282851295835016
205,0.1634476845353362
206,0.16313377042779414
207,0.16261488751911965
208,0.16012580271828153
209,0.15985383197014974
210,0.1559459312652581
211,0.15360417696872583
212,0.15251944114948773
213,0.1508054317212643
214,0.14807310690612246
215,0.14931684175935958
216,0.14765945134210212
217,0.14818163916116492
218,0.14886067974394007
219,0.14910845896792255
220,0.15044034035991152
221,0.1507273382531489
222,0.15169261386003688
223,0.15311967929221834
224,0.154357377003534
225,0.15639135165811974
226,0.15456191251813228
227,0.155832143711283
228,0.1558873075247592
229,0.15669402744467026
230,0.15775663461685815
231,0.15813948603212546
232,0.15827352893362334
233,0.15932741476921036
234,0.16038870829689184
235,0.15769648563518932
236,0.15920042902172526
237,0.15997855095022903
238,0.1603095044637566
239,0.16236087298019317
240,0.16191699172823565
241,0.16467579818178332
242,0.1643274094165708
243,0.16700272263411906
244,0.16788912825858335
245,0.1689518779187959
246,0.1696469816315042
247,0.17221773448237448
248,0.17423315315569363
249,0.1752473882186967
250,0.17696655672714295
251,0.17790239121419363
252,0.17894863023601007
253,0.1793865347522101
254,0.17973595257094246
255,0.17868586524399782
256,0.17694213235876435
257,0.17509750112744932
258,0.17452248127199327
259,0.1698121859669028
260,0.16951956211873417
261,0.16811127382541996
262,0.16810940821798318
263,0.16798897148785813
264,0.16853032316187683
265,0.1702623268699624
266,0.17031493987837978
267,0.17165920457728928
268,0.17173294846652074
269,0.1723867534483531
270,0.17348455592219664
271,0.17441241801810015
272,0.17485164559155347
273,0.17681863718625776
274,0.1777933124229529
275,0.1783368873490066
276,0.1792465931646765
277,0.18021404183290976
278,0.18110576491284805
279,0.1805832015176733
280,0.17980430918335005
281,0.1788219741190191
282,0.17893753559583403
283,0.17936147217019974
284,0.17829041590555483
285,0.180157814464118
286,0.18052065945299753
287,0.18326383208735375
288,0.18279146235565502
289,0.1855799062882639
290,0.18670950769706365
291,0.188453056031273
292,0.19023929909369253
293,0.19187909215625626
294,0.19293323695802106
295,0.1945880070495485
296,0.19633922059930203
297,0.19710551923742184
298,0.20058984947840028
299,0.20025992281487187
300,0.20374508415030354
301,0.20264769217970285
302,0.20042391093428424
303,0.19876699227998995
304,0.1957360162727181
305,0.19420315587071854
306,0.19103601814576118
307,0.18834283212188027
308,0.18689767694914453
309,0.18731683431736249
310,0.18641971827936848
311,0.18819404580506716
312,0.18911081078332148
313,0.1908090315190711
314,0.19082134105460163
315,0.19152742983062793
316,0.19211796478393367
317,0.1924692150302366
318,0.19361369483561214
319,0.19424998329140397
320,0.1952806835660918
321,0.19452767839219348
322,0.19548873666756142
323,0.19536794071655322
324,0.19686509259287577
325,0.19674959157760458
326,0.19825900670914035
327,0.19679702423965187
328,0.19615076058041342
329,0.19530251986352623
330,0.1955395413330881
331,0.19465525880089082
332,0.19534431661936327
333,0.19604381907134255
334,0.19720045458316382
335,0.19892485645676677
336,0.19954853870569184
337,0.20228632394825094
338,0.20423711176475284
339,0.20830273979851693
340,0.20826927784448265
341,0.20855654089133752
342,0.21100383360647906
343,0.21089009799111497
344,0.21292028654582315
345,0.2141801460500449
346,0.21397173211114834
347,0.21366146549699985
348,0.21458826102067033
349,0.2120873295493614
350,0.21167905509256996
351,0.20992208841197044
352,0.20773716730026875
353,0.20527498552763332
354,0.20273655819185743
355,0.2015066720502629
356,0.19948729090214556
357,0.20139425666881258
358,0.20170959493714746
359,0.20304272595583406
360,0.20525522761035658
361,0.20491734470626827
362,0.20702687987906315
363,0.207489019905911
364,0.2093676406165852
365,0.21016664403945312
366,0.2107792092538357
367,0.21187037606245704
368,0.21270359276584833
369,0.2134114156675068
370,0.21360929815584417
371,0.21422679385168286
372,0.21457913396356174
373,0.21315844981536491
374,0.2138086702038442
375,0.2134121890662212
376,0.21267825607146779
377,0.21239246732809675
378,0.21254318377675901
379,0.21416426391044735
380,0.2159430543788022
381,0.2162112307103242
382,0.2195488176709029
383,0.2213056283989953
384,0.22405691857805582
385,0.22353249426900063
386,0.22751508960819694
387,0.22883649346909793
388,0.23009535244030505
389,0.23205656017076753
390,0.23310384275695975
391,0.2330062522644428
392,0.23522844271318535
393,0.23654137710850276
394,0.2365486131440632
395,0.23756728997391527
396,0.23615534910843156
397,0.23491430284583528
398,0.23118422237290734
399,0.22877425472942892
400,0.22595845069728832
401,0.224810063934099
402,0.22332788435002326
403,0.22388221990409404
404,0.2240777466854141
405,0.22449503958305295
406,0.2251258350748428
407,0.22527083409121543
408,0.22583630835815213
409,0.22698372925109583
410,0.2287372503879271
411,0.22801164283511474
412,0.2299519224487247
413,0.23069175382376744
414,0.23243702158732016
415,0.23247126470019136
416,0.23327304596717297
417,0.23386322901117235
418,0.2341689044274568
419,0.23299130830467968
420,0.23183580732817716
421,0.23081025827852172
422,0.22942472117095355
423,0.22762717511323577
424,0.22897207402181236
425,0.2280440285147919
426,0.2300905504834075
427,0.22971702539888153
428,0.23198487109637295
429,0.23249402324613883
430,0.23532022142782605
431,0.23614045777319742
432,0.23831687847340005
433,0.2402520013799246
434,0.24222167668396058
435,0.24359312981452702
436,0.24566746002705014
437,0.2479047272724056
438,0.2491849574597808
439,0.249779931564979
440,0.2495338853271507
441,0.2503217415250647
442,0.2493039785596063
443,0.2493147858582045
444,0.24682780574621085
445,0.24547235672346002
446,0.24124178541098334
447,0.24039749362095092
448,0.23730885689176687
449,0.23682994490181644
450,0.23580357958511863
451,0.23605122980597998
452,0.2380912489063019
453,0.2397114388855371
454,0.23965683553765635
455,0.24072353114077694
456,0.2425460840693309
457,0.24516697592154957
458,0.2446947309599677
459,0.24771766060984945
460,0.24757739641420784
461,0.24944540367430915
462,0.24811240593556008
463,0.24898285658855884
464,0.24941052469537625
465,0.24857783808882009
466,0.24831781182370033
467,0.24789904400375368
468,0.2470492610122043
469,0.24559658310596885
470,0.24643391493601907
471,0.24386962714096327
472,0.2442048408665563
473,0.24492671049425224
474,0.24791606163135463
475,0.24701660813275145
476,0.25055208617437874
477,0.25329672961252375
478,0.254828148159178
479,0.25738472556548037
480,0.25911031433889464
481,0.26112774721561505
482,0.26291587886764095
483,0.26440639276939415
484,0.26712878394769474
485,0.26691481951815266
486,0.26800755274173027
487,0.2681484534525691
488,0.2678655963155186
489,0.2661735197326865
490,0.26495302151420824
491,0.26235156053088404
492,0.2598978638290976
493,0.25668163774741337
494,0.2544759797902385
495,0.2527664348229878
496,0.25088169143686734
497,0.251280555505771
498,0.2511571315247506
499,0.25308635132640556
