t,relativeL2
0,1.3158748757291505e-08
1,1.3126323139545093e-08
2,0.01897563226521015
3,0.026507802307605743
4,0.036309417337179184
5,0.042834989726543427
6,0.04907830059528351
7,0.05467496067285538
8,0.05734685808420181
9,0.062455859035253525
10,0.06781551241874695
11,0.07038713991641998
12,0.07302290201187134
13,0.0769924744963646
14,0.07914672791957855
15,0.08568120747804642
16,0.08366837352514267
17,0.0871933251619339
18,0.09022123366594315
19,0.09340100735425949
20,0.09518971294164658
21,0.09767023473978043
22,0.09827391803264618
23,0.1015545204281807
24,0.10158298164606094
25,0.10304248332977295
26,0.10671813040971756
27,0.10681546479463577
28,0.10741245746612549
29,0.10927797108888626
30,0.11067727208137512
31,0.11469874531030655
32,0.11495071649551392
33,0.11794314533472061
34,0.11982949823141098
35,0.120859794318676
36,0.12161034345626831
37,0.12427953630685806
38,0.1250487118959427
39,0.12442991882562637
40,0.1272270679473877
41,0.12767353653907776
42,0.127360999584198
43,0.13010923564434052
44,0.1311033070087433
45,0.13096833229064941
46,0.13155977427959442
47,0.13272534310817719
48,0.13105939328670502
49,0.13339893519878387
50,0.13405266404151917
51,0.13450311124324799
52,0.13598515093326569
53,0.13728173077106476
54,0.13809362053871155
55,0.14179420471191406
56,0.14306002855300903
57,0.14449740946292877
58,0.14521414041519165
59,0.14577244222164154
60,0.14692537486553192
61,0.14767298102378845
62,0.14738047122955322
63,0.14786311984062195
64,0.14845344424247742
65,0.14785371720790863
66,0.14850176870822906
67,0.1481316089630127
68,0.1471220850944519
69,0.14687895774841309
70,0.14531302452087402
71,0.1462809443473816
72,0.14694085717201233
73,0.14620716869831085
74,0.14651350677013397
75,0.14674635231494904
76,0.14736032485961914
77,0.14956340193748474
78,0.1502496898174286
79,0.15062159299850464
80,0.15208475291728973
81,0.15393047034740448
82,0.15493732690811157
83,0.1551763117313385
84,0.15653938055038452
85,0.15718764066696167
86,0.15792275965213776
87,0.15879762172698975
88,0.1601783037185669
89,0.16061539947986603
