t,relL2
0,1.4956958298796063e-08
1,1.4767855092463852e-08
2,0.010612592518345718
3,0.014601358773572038
4,0.019323584430812515
5,0.02548690838802516
6,0.029571472513928644
7,0.034244296031090346
8,0.036795926461272846
9,0.041261627144026834
10,0.043547158032527476
11,0.0504121481425725
12,0.051279636586412214
13,0.05532292110209339
14,0.05716075993292115
15,0.059843458420477745
16,0.0617097554915774
17,0.0634058601051328
18,0.0663002535094846
19,0.06630930934616222
20,0.07275013299171432
21,0.07297672570626346
22,0.07065011257151846
23,0.06900477071894046
24,0.07178733100222492
25,0.0709152136038845
26,0.07475261954322146
27,0.07432818297877923
28,0.07271316708241087
29,0.07826112724462421
30,0.07302790820299038
31,0.0747221417309594
32,0.0732866220425378
33,0.07448745872064817
34,0.07738387366570468
35,0.07806338779185032
36,0.07379357247548887
37,0.07410554565926755
38,0.07547675109267463
39,0.07373180654111243
40,0.07822458771372355
41,0.07506556836202878
42,0.07706251871665169
43,0.07824647509496532
44,0.07658161219494561
45,0.07795816140513098
46,0.07679251028257653
47,0.07462000760366092
48,0.07152944836934355
49,0.06884983524744312
50,0.06760436991742631
51,0.06592016871353416
52,0.06583727306718515
53,0.06610624786189191
54,0.06772019824837652
55,0.07067485390052027
56,0.06946718408330363
57,0.06620206480720493
58,0.06928638670856238
59,0.06713220993771687
60,0.0737359274888135
61,0.07394456925806132
62,0.07254182340879617
63,0.07378831478395377
64,0.07515356957186833
65,0.08070539470097034
66,0.08129274076776001
67,0.08424544847032059
68,0.0851298181133415
69,0.0840469637102472
70,0.08203382249161913
71,0.08541624017968895
72,0.08393649689624391
73,0.08216763059989604
74,0.07486766377215787
75,0.08179184210218061
76,0.07537822719121519
77,0.08168141180165034
78,0.0781547394107161
79,0.08299978268852488
80,0.08181935214150353
81,0.08256926621004367
82,0.08031315650636373
83,0.08327482973620266
84,0.0840596661603359
85,0.08431449842609015
86,0.08783395728467838
87,0.0835471788532275
88,0.08630356888139809
89,0.08551384843767443
90,0.08440267321689064
91,0.08248009010970617
92,0.0809626155486071
93,0.07970404223503227
94,0.08250320280966171
95,0.08009006236350742
96,0.08233500541069341
97,0.08118187909064982
98,0.07865142646278386
99,0.07621887712522155
100,0.0800858226926126
101,0.07437846421022018
102,0.07803100283251432
103,0.07801830150812447
104,0.07681631960732266
105,0.0762623216938457
106,0.07636264984343608
107,0.07839026027413507
108,0.0775533439428213
109,0.08143645633343458
110,0.08147147273035282
111,0.08338476620564984
112,0.0836456451412992
113,0.08348300925012513
114,0.0859000152996297
115,0.08680180980954394
116,0.08659901770370446
117,0.0884161772964793
118,0.08775057273740156
119,0.08590467514542102
120,0.08890376126634311
121,0.0920715273216896
122,0.09340166128426615
123,0.09526168641247415
124,0.09728219948627004
125,0.09595554341295291
126,0.09670054637921992
127,0.09773438213598647
