t,relativeL2
0,1.4959185890006665e-08
1,1.4769539369297036e-08
2,0.019593527540564537
3,0.028915902599692345
4,0.03518269583582878
5,0.044887151569128036
6,0.05313267558813095
7,0.060951266437768936
8,0.06434384733438492
9,0.07306557893753052
10,0.07650692015886307
11,0.08272837847471237
12,0.08868077397346497
13,0.09435884654521942
14,0.10356996208429337
15,0.11017516255378723
16,0.11663848906755447
17,0.12445831298828125
18,0.1298142522573471
19,0.13438859581947327
20,0.1400941014289856
21,0.14368712902069092
22,0.15751180052757263
23,0.16056782007217407
24,0.16878578066825867
25,0.17693305015563965
26,0.1796804517507553
27,0.1822245866060257
28,0.18028633296489716
29,0.18840426206588745
30,0.1903509795665741
31,0.19359806180000305
32,0.19914786517620087
33,0.1992780864238739
34,0.19792041182518005
35,0.199305921792984
36,0.20173873007297516
37,0.20432424545288086
38,0.20610946416854858
39,0.20574602484703064
40,0.20983612537384033
41,0.20991431176662445
42,0.21907193958759308
43,0.22036659717559814
44,0.2227780818939209
45,0.22141306102275848
46,0.2267729938030243
47,0.22436220943927765
48,0.22682787477970123
49,0.22977404296398163
50,0.22983497381210327
51,0.23231704533100128
52,0.23540550470352173
53,0.2320815622806549
54,0.23339581489562988
55,0.23061403632164001
56,0.2322985827922821
57,0.23222674429416656
58,0.23727405071258545
59,0.2298816740512848
60,0.23674380779266357
61,0.237740159034729
62,0.2413141131401062
63,0.2515330910682678
64,0.24761804938316345
65,0.250622421503067
66,0.25206077098846436
67,0.2526434063911438
68,0.24898669123649597
69,0.25481507182121277
70,0.25243762135505676
71,0.25271984934806824
72,0.2547489106655121
73,0.2515481412410736
74,0.25789201259613037
75,0.25133684277534485
76,0.25134265422821045
77,0.2494935542345047
78,0.2537307143211365
79,0.2564697265625
80,0.2522745430469513
81,0.24889923632144928
82,0.24982577562332153
83,0.2530252933502197
84,0.2535274028778076
85,0.25728079676628113
86,0.26001885533332825
87,0.2592567205429077
88,0.2591319680213928
89,0.26287996768951416
90,0.26152631640434265
91,0.25870761275291443
92,0.26028531789779663
93,0.2623022496700287
94,0.258342444896698
95,0.2614299952983856
96,0.25743404030799866
97,0.2575627267360687
98,0.2553470730781555
99,0.25757327675819397
100,0.26228103041648865
101,0.26095232367515564
102,0.26591187715530396
103,0.2618884742259979
104,0.2628195285797119
105,0.263494074344635
106,0.2612399756908417
107,0.25915658473968506
108,0.2630326747894287
109,0.26528918743133545
110,0.26596760749816895
111,0.2697136402130127
112,0.2665880620479584
113,0.27277079224586487
114,0.27365073561668396
115,0.2747640311717987
116,0.2727513611316681
117,0.27689576148986816
118,0.2739335000514984
119,0.27362391352653503
120,0.2707052230834961
121,0.26908278465270996
122,0.2670920193195343
123,0.26264750957489014
124,0.2666136622428894
125,0.26706427335739136
126,0.2687761187553406
127,0.26783883571624756
128,0.2715008854866028
129,0.2727872431278229
130,0.2733166813850403
131,0.27695193886756897
132,0.27917852997779846
133,0.28171998262405396
134,0.2787104845046997
135,0.276341050863266
136,0.278535395860672
137,0.275603324174881
138,0.2808295488357544
139,0.2740679979324341
140,0.28266239166259766
141,0.2802337408065796
142,0.28187283873558044
143,0.2794371545314789
144,0.2814495265483856
145,0.2837602496147156
146,0.28659892082214355
147,0.28422054648399353
148,0.2884277105331421
149,0.28552472591400146
150,0.2887060046195984
151,0.2860308885574341
152,0.28907257318496704
153,0.28629961609840393
154,0.28205645084381104
155,0.2838618755340576
156,0.2824515700340271
157,0.2839558720588684
158,0.28503063321113586
159,0.2842177152633667
160,0.2820879817008972
161,0.2837606966495514
162,0.2825557589530945
163,0.28727975487709045
164,0.2892942428588867
165,0.29008516669273376
166,0.2883319854736328
167,0.2895250916481018
168,0.2829490303993225
169,0.2919594347476959
170,0.29041171073913574
171,0.29199162125587463
172,0.29450422525405884
173,0.2967919409275055
174,0.2901533246040344
175,0.29585152864456177
176,0.28875723481178284
177,0.2865295708179474
178,0.286310613155365
179,0.28434664011001587
180,0.2815573513507843
181,0.2817073166370392
182,0.283418744802475
183,0.2843495011329651
184,0.28229430317878723
185,0.2841757535934448
186,0.28635480999946594
187,0.2836584448814392
188,0.28637754917144775
189,0.2887539267539978
190,0.2881563901901245
191,0.2907935380935669
192,0.2911810874938965
193,0.2892611026763916
194,0.2912623882293701
195,0.2903037965297699
196,0.2921697795391083
197,0.2895595133304596
198,0.2865884602069855
199,0.2879805564880371
200,0.286810964345932
201,0.28548693656921387
202,0.2828538715839386
203,0.28345152735710144
204,0.2823457717895508
205,0.28168997168540955
206,0.2847704291343689
207,0.2834901511669159
208,0.2841251492500305
209,0.2844514846801758
210,0.28367727994918823
211,0.27915138006210327
212,0.28707781434059143
213,0.28244689106941223
214,0.2828167974948883
215,0.28668954968452454
216,0.2863370478153229
217,0.2890157401561737
218,0.2870588004589081
219,0.284953236579895
220,0.28744450211524963
221,0.2917272746562958
222,0.28707143664360046
223,0.29183945059776306
224,0.2924893796443939
225,0.2915913462638855
226,0.2919459640979767
227,0.2874079644680023
228,0.2862566113471985
229,0.28730952739715576
230,0.28488028049468994
231,0.28195273876190186
232,0.27787625789642334
233,0.2827109396457672
234,0.2829817235469818
235,0.2843727767467499
236,0.2779678702354431
237,0.28468936681747437
238,0.27972105145454407
239,0.281075656414032
240,0.28005701303482056
241,0.28603553771972656
242,0.28545039892196655
243,0.2885812819004059
244,0.2844441831111908
245,0.28465208411216736
246,0.2807348370552063
247,0.2805747091770172
248,0.27781060338020325
249,0.27572008967399597
250,0.27823442220687866
251,0.2791084051132202
252,0.2788531184196472
253,0.2819158136844635
254,0.2767984867095947
255,0.2762935757637024
256,0.27835139632225037
257,0.27148765325546265
258,0.27825307846069336
259,0.2755519449710846
260,0.27795925736427307
261,0.2831087112426758
262,0.2843937873840332
263,0.280526340007782
264,0.2860187888145447
265,0.2812676727771759
266,0.28313201665878296
267,0.2904912233352661
268,0.2854823172092438
269,0.2914908528327942
270,0.2896587550640106
271,0.29350745677948
272,0.29452642798423767
273,0.3002196252346039
274,0.30390554666519165
275,0.30391669273376465
276,0.30789682269096375
277,0.30619320273399353
278,0.3039812445640564
279,0.30323898792266846
280,0.30539584159851074
281,0.30377498269081116
282,0.30367109179496765
