t,relativeL2
0,1.3158748757291505e-08
1,1.3126323139545093e-08
2,0.01748364232480526
3,0.021300941705703735
4,0.025578290224075317
5,0.03055955283343792
6,0.035146523267030716
7,0.03608119860291481
8,0.04118770360946655
9,0.04423355683684349
10,0.04857591912150383
11,0.04950742796063423
12,0.05347699671983719
13,0.057966239750385284
14,0.06095460057258606
15,0.0633210688829422
16,0.06647641956806183
17,0.07091082632541656
18,0.07422295212745667
19,0.07788100093603134
20,0.08046986907720566
21,0.08263226598501205
22,0.08503517508506775
23,0.08829157054424286
24,0.08883389085531235
25,0.09210004657506943
26,0.0943787544965744
27,0.09582915902137756
28,0.09937281161546707
29,0.09854116290807724
30,0.1019359901547432
31,0.1028829887509346
32,0.10399390757083893
33,0.10535341501235962
34,0.10754608362913132
35,0.11051726341247559
36,0.11436687409877777
37,0.11517956107854843
38,0.11838573217391968
39,0.11954321712255478
40,0.12179999053478241
41,0.12271671742200851
42,0.12442374974489212
43,0.12541472911834717
44,0.12638156116008759
45,0.12937361001968384
46,0.12659502029418945
47,0.12583984434604645
48,0.12574490904808044
49,0.12664714455604553
50,0.12752503156661987
51,0.1289224475622177
52,0.12937764823436737
53,0.12856504321098328
54,0.12845341861248016
55,0.1282062977552414
56,0.13082651793956757
57,0.12963972985744476
58,0.13014571368694305
59,0.13064569234848022
60,0.1319066733121872
61,0.132281094789505
62,0.1325058937072754
63,0.13178864121437073
64,0.13252651691436768
65,0.13128817081451416
66,0.13090713322162628
67,0.13118530809879303
68,0.1335766464471817
69,0.1339506208896637
70,0.13476960361003876
71,0.13365419209003448
72,0.13329097628593445
73,0.13437935709953308
74,0.13213248550891876
75,0.13344520330429077
76,0.13273732364177704
77,0.13452409207820892
78,0.13662658631801605
79,0.13823243975639343
80,0.13607366383075714
81,0.139298677444458
82,0.13851000368595123
83,0.13928022980690002
84,0.1408694088459015
85,0.13950115442276
86,0.14091207087039948
87,0.1400000900030136
88,0.14096380770206451
89,0.14076898992061615
