t,predMSE
0,2.0849398359309382e-17
1,2.038944127097682e-17
2,8.471032742818352e-06
3,1.0370684321969748e-05
4,1.3934687558503356e-05
5,1.8712422388489358e-05
6,2.766644502116833e-05
7,3.660609945654869e-05
8,4.699987403000705e-05
9,5.2540694014169276e-05
10,5.17464941367507e-05
11,5.867607978871092e-05
12,6.733175541739911e-05
13,7.776267011649907e-05
14,6.650916475336999e-05
15,7.689518679399043e-05
16,8.00668858573772e-05
17,8.586001058574766e-05
18,9.563219646224752e-05
19,0.00010898170876316726
20,0.00011910873581655324
21,0.00013020460028201342
22,0.0001421350025339052
23,0.00016511185094714165
24,0.00017731808475218713
25,0.0001999405794776976
26,0.00020119300461374223
27,0.00022209715098142624
28,0.000233710408792831
29,0.0002362374943913892
30,0.0002693658461794257
31,0.00025794783141463995
32,0.00024961342569440603
33,0.0002496953238733113
34,0.0002412808098597452
35,0.00026730814715847373
36,0.0002607525675557554
37,0.0002682726480998099
38,0.0002945861197076738
39,0.00028966579702682793
40,0.00030105747282505035
41,0.0003010753425769508
42,0.00030122106545604765
43,0.00029990114853717387
44,0.0003272922185715288
45,0.0003170082636643201
46,0.00033723542583175004
47,0.000339388323482126
48,0.00033439634717069566
49,0.0003442311135586351
50,0.0003630584105849266
51,0.0003996171581093222
52,0.00039702525828033686
53,0.0004081617807969451
54,0.0004327539063524455
55,0.00046646970440633595
56,0.00046846436453051865
57,0.0005173670360818505
58,0.0005086135352030396
59,0.0005559034179896116
60,0.0005371767329052091
61,0.0006139771430753171
62,0.0006102502811700106
63,0.0006277250940911472
64,0.0006327427108772099
65,0.0006533582345582545
66,0.0006550885736942291
67,0.00066896848147735
68,0.0006655036704614758
69,0.000684714294038713
70,0.0007179895765148103
71,0.0007630662876181304
72,0.0007929454441182315
73,0.0008377181948162615
74,0.0008637892897240818
75,0.0009019787539727986
76,0.0009151378180831671
77,0.0009776443475857377
78,0.0010059031192213297
79,0.0010926559334620833
80,0.001121347420848906
81,0.0012189652770757675
82,0.0012570156250149012
83,0.00129795097745955
84,0.0013629239983856678
85,0.001353614148683846
86,0.001405740506015718
87,0.0014532560016959906
88,0.001458595274016261
89,0.0014443588443100452
90,0.0014971100026741624
91,0.0014801094075664878
92,0.0014969732146710157
93,0.001533268135972321
94,0.0015224764356389642
95,0.0015487156342715025
96,0.0015015449607744813
97,0.0015457650879397988
98,0.0015265680849552155
99,0.0015698411734774709
100,0.0016160376835614443
101,0.0016297507099807262
102,0.0016645606374368072
103,0.0017531256889924407
104,0.00182116380892694
105,0.0018813071073964238
106,0.001998454798012972
107,0.0020925565622746944
108,0.0022130149882286787
109,0.002290168544277549
110,0.002310760086402297
111,0.00242916913703084
112,0.0024614965077489614
113,0.0024949347134679556
114,0.002468524733558297
115,0.00245305965654552
116,0.00247602304443717
117,0.002441968536004424
118,0.0024450167547911406
119,0.002486258279532194
120,0.002487027086317539
121,0.002552841091528535
122,0.002556542633101344
123,0.0026387865655124187
124,0.002664004685357213
125,0.0027933584060519934
126,0.0028558869380503893
127,0.003009981708601117
128,0.0031132849399000406
129,0.003295856760814786
130,0.003374096006155014
131,0.003484070533886552
132,0.0035881551448255777
133,0.003687786404043436
134,0.003697984153404832
135,0.0037933336570858955
136,0.003773885313421488
137,0.0038283837493509054
138,0.003840008284896612
139,0.003838787553831935
140,0.0037843671161681414
141,0.003807978006079793
142,0.003716209437698126
143,0.0037439195439219475
144,0.0037490022368729115
145,0.003781119827181101
146,0.003799831261858344
147,0.003799501108005643
148,0.00381940184161067
149,0.00383249344304204
150,0.003935661166906357
151,0.004000836983323097
152,0.0041075232438743114
153,0.004215543158352375
154,0.00432651536539197
155,0.004487553611397743
156,0.004670306574553251
157,0.00480449665337801
158,0.005014391615986824
159,0.005138234235346317
160,0.0052621448412537575
161,0.005294466856867075
162,0.005314570385962725
163,0.005361223127692938
164,0.005429254379123449
165,0.005357225891202688
166,0.005356642883270979
167,0.005356547422707081
168,0.00533900735899806
169,0.005343868862837553
170,0.005349806509912014
171,0.005378024186939001
172,0.005490859970450401
173,0.005523292347788811
174,0.005653510335832834
175,0.0057068257592618465
176,0.005928361788392067
177,0.006036384962499142
178,0.006262781098484993
179,0.00642459187656641
180,0.00663005281239748
181,0.00674368254840374
182,0.006884559523314238
183,0.007031466346234083
184,0.007200810592621565
185,0.007298141252249479
186,0.007328369189053774
187,0.007319379132241011
188,0.007342999801039696
189,0.00727025605738163
190,0.007256777491420507
191,0.0071390653029084206
192,0.007110278587788343
193,0.0071038189344108105
194,0.007065954152494669
195,0.0069960420951247215
196,0.006979933008551598
197,0.007038948126137257
198,0.007043594494462013
199,0.007088587619364262
200,0.007133977487683296
201,0.007341817021369934
202,0.007466715294867754
203,0.007675155997276306
204,0.00787681806832552
205,0.00812476221472025
206,0.008364137262105942
207,0.008576550520956516
208,0.008804556913673878
209,0.008901575580239296
210,0.008982552215456963
211,0.009091470390558243
212,0.00912494771182537
213,0.009116899222135544
214,0.009031033143401146
215,0.00900490116328001
216,0.009004675783216953
217,0.008963365107774734
218,0.008890235796570778
219,0.008941407315433025
220,0.008920220658183098
221,0.00896859634667635
222,0.008993897587060928
223,0.009066079743206501
224,0.0091751329600811
225,0.009334505535662174
226,0.009508935734629631
227,0.009628965519368649
228,0.00990762934088707
229,0.010122363455593586
230,0.010319841094315052
231,0.01051691547036171
232,0.010705257765948772
233,0.01087951473891735
234,0.01094005536288023
235,0.011071667075157166
236,0.011068332940340042
237,0.011092678643763065
238,0.011055421084165573
239,0.011006182990968227
240,0.010916532017290592
241,0.010883756913244724
242,0.010832819156348705
243,0.010713831521570683
244,0.01063224021345377
245,0.010676448233425617
246,0.010574654676020145
247,0.010567458346486092
248,0.010646834038197994
249,0.010707774199545383
250,0.010753358714282513
251,0.010975132696330547
252,0.011230070143938065
253,0.011379477567970753
254,0.011714846827089787
255,0.011963432654738426
256,0.012223250232636929
257,0.012392843142151833
258,0.012630295008420944
259,0.012797966599464417
260,0.012928850017488003
261,0.012945217080414295
262,0.012957140803337097
263,0.012934789061546326
264,0.01286535244435072
265,0.012879554182291031
266,0.012777050025761127
267,0.012636934407055378
268,0.012672502547502518
269,0.012639765627682209
270,0.01258460246026516
271,0.012601830996572971
272,0.012606202624738216
273,0.012707077898085117
274,0.012856041081249714
275,0.01296471431851387
276,0.013197371736168861
277,0.013459582813084126
278,0.01373500470072031
279,0.013937283307313919
280,0.01417089719325304
281,0.014364293776452541
282,0.014682221226394176
283,0.014830151572823524
284,0.015025349333882332
285,0.015197725035250187
286,0.015291452407836914
287,0.015280456282198429
288,0.015221714042127132
289,0.015186804346740246
290,0.015069962479174137
291,0.015000810846686363
292,0.014899222180247307
293,0.014833438210189342
294,0.01470228936523199
295,0.014624248258769512
296,0.014556837268173695
297,0.014559111557900906
298,0.014627001248300076
299,0.014722979627549648
300,0.014899153262376785
301,0.015115318819880486
302,0.015346408821642399
303,0.015615968964993954
304,0.01590874046087265
305,0.01629221998155117
306,0.01658807322382927
307,0.016853706911206245
308,0.017040427774190903
309,0.01720387116074562
310,0.0173601396381855
311,0.01736929640173912
312,0.017375512048602104
313,0.017340531572699547
314,0.017230642959475517
315,0.017229927703738213
316,0.017123529687523842
317,0.017077775672078133
318,0.016989145427942276
319,0.016949614509940147
320,0.016937080770730972
321,0.016874073073267937
322,0.01695879176259041
323,0.017131956294178963
324,0.017261169850826263
325,0.017499608919024467
326,0.017761381343007088
327,0.018022214993834496
328,0.01831376925110817
329,0.01863917149603367
330,0.01892467774450779
331,0.019193589687347412
332,0.019397128373384476
333,0.019678331911563873
334,0.01988065429031849
335,0.01998661831021309
336,0.020022306591272354
337,0.020030761137604713
338,0.0198773555457592
339,0.019842926412820816
340,0.019809730350971222
341,0.019681204110383987
342,0.01958528347313404
343,0.019540859386324883
344,0.019434308633208275
345,0.01938287727534771
346,0.0193166546523571
347,0.019261548295617104
348,0.019313761964440346
349,0.0194204393774271
350,0.019641969352960587
351,0.019914783537387848
352,0.02017986588180065
353,0.020555736497044563
354,0.020942844450473785
355,0.02126697450876236
356,0.021631909534335136
357,0.021896589547395706
358,0.022125612944364548
359,0.022262167185544968
360,0.02234482951462269
361,0.022372713312506676
362,0.022343019023537636
363,0.022247392684221268
364,0.022219758480787277
365,0.0221174918115139
366,0.02198413945734501
367,0.021859239786863327
368,0.021766575053334236
369,0.021647769957780838
370,0.02169221080839634
371,0.02155718393623829
372,0.02162371203303337
373,0.0217457078397274
374,0.02187957987189293
375,0.022009577602148056
376,0.022275933995842934
377,0.02257992886006832
378,0.02290942892432213
379,0.023164872080087662
380,0.023537535220384598
381,0.023836884647607803
382,0.024041205644607544
383,0.024278637021780014
384,0.024431351572275162
385,0.02450450137257576
386,0.024503279477357864
387,0.024447662755846977
388,0.024307282641530037
389,0.024303412064909935
390,0.02414953149855137
391,0.0239010751247406
392,0.02384219877421856
393,0.02373402938246727
394,0.023560596629977226
395,0.02345476672053337
396,0.02330128289759159
397,0.023284656926989555
398,0.023338280618190765
399,0.023365044966340065
400,0.02360195480287075
401,0.023963890969753265
402,0.024237370118498802
403,0.02464478462934494
404,0.02500229701399803
405,0.0254453644156456
406,0.025752240791916847
407,0.026096945628523827
408,0.02635682374238968
409,0.026528002694249153
410,0.026562202721834183
411,0.0266929492354393
412,0.026589300483465195
413,0.02644580975174904
414,0.02646421641111374
415,0.026358945295214653
416,0.026215756312012672
417,0.026161888614296913
418,0.026105308905243874
419,0.025913525372743607
420,0.02592306025326252
421,0.025745442137122154
422,0.02572547271847725
423,0.025755302980542183
424,0.02595747821033001
425,0.026236623525619507
426,0.026571132242679596
427,0.026951991021633148
428,0.027348030358552933
429,0.02777031809091568
430,0.02811555750668049
431,0.028495099395513535
432,0.028733855113387108
433,0.029015975072979927
434,0.029157062992453575
435,0.02929620072245598
436,0.029249873012304306
437,0.029224518686532974
438,0.029079999774694443
439,0.028884906321763992
440,0.028769252821803093
441,0.028609398752450943
442,0.02838885597884655
443,0.028195057064294815
444,0.028055481612682343
445,0.027889205142855644
446,0.027624482288956642
447,0.027590064331889153
448,0.027681546285748482
449,0.027872443199157715
450,0.028088781982660294
451,0.02846566028892994
452,0.028847677633166313
453,0.02932109124958515
454,0.029642505571246147
455,0.03002098575234413
456,0.030361630022525787
457,0.03064584918320179
458,0.030910346657037735
459,0.031096946448087692
460,0.031194569543004036
461,0.031134745106101036
462,0.03115416131913662
463,0.031154703348875046
464,0.030986271798610687
465,0.030772924423217773
466,0.03059244714677334
467,0.030418643727898598
468,0.030234716832637787
469,0.030012862756848335
470,0.029768509790301323
471,0.029671456664800644
472,0.029717018827795982
473,0.029751794412732124
474,0.029970042407512665
475,0.030257446691393852
476,0.030644308775663376
477,0.031111281365156174
478,0.03158748522400856
479,0.03197234123945236
480,0.03235660493373871
481,0.032652873545885086
482,0.033006612211465836
483,0.03331424295902252
484,0.033477749675512314
485,0.033627405762672424
486,0.03365281969308853
487,0.03370894491672516
488,0.03355002775788307
489,0.03330313786864281
490,0.033078569918870926
491,0.03289901465177536
492,0.0326734259724617
493,0.032437514513731
494,0.03217492252588272
495,0.03197099640965462
496,0.03186507523059845
497,0.03178832307457924
498,0.03195680305361748
499,0.03210173174738884
