t,predContinuityMSE
0,0.0005574573879130185
1,0.0014177574776113033
2,0.0019137628842145205
3,0.003384734271094203
4,0.0017947001615539193
5,0.002499132649973035
6,0.00287024793215096
7,0.002644427353516221
8,0.005634872242808342
9,0.003156244521960616
10,0.0013024999061599374
11,0.0017035009805113077
12,0.0007783202454447746
13,0.0005483599961735308
14,0.00026503505068831146
15,0.0020432020537555218
16,0.005154203623533249
17,0.00022616343630943447
18,0.0005093746585771441
19,0.0011743579525500536
20,0.0014133587246760726
21,0.0013664837460964918
22,0.00021470998763106763
23,0.0008516691159456968
24,0.005511896684765816
25,0.008654589764773846
26,0.00768589461222291
27,0.006056690122932196
28,0.0057587455958127975
29,0.0018219660269096494
30,0.0007496211328543723
31,0.000644191459286958
32,0.0008064384455792606
33,0.002224110998213291
34,0.00271722418256104
35,0.0006697842618450522
36,0.0009286541608162224
37,0.0003864080645143986
38,0.002314967568963766
39,0.0050569577142596245
40,0.0026851084548979998
41,0.0023497012443840504
42,0.0067582642659544945
43,0.006629954557865858
44,0.007633925415575504
45,0.009760496206581593
46,0.003569504013285041
47,0.0036249402910470963
48,0.004364158026874065
49,0.0012057787971571088
50,0.00676555885002017
51,0.0012412458891049027
52,0.004303016234189272
53,0.005797322373837233
54,0.0024378893431276083
55,0.0009720587986521423
56,0.004241131246089935
57,0.0008495816146023571
58,0.0020324576180428267
59,0.0018797814846038818
60,0.0006186315440572798
61,0.0016576009802520275
62,0.0075764465145766735
63,0.005701773799955845
64,0.0006014449172653258
65,0.0026403050869703293
66,0.0015084431506693363
67,0.0004621224070433527
68,0.0007566827116534114
69,0.0003536683798301965
70,0.0019568386487662792
71,0.004766759462654591
72,0.0025048924144357443
73,0.0014719036407768726
74,0.0008324561640620232
75,0.0028253430500626564
76,0.006811549887061119
77,0.0029882495291531086
78,0.00455436110496521
79,0.0019993786700069904
80,0.0017588966293260455
81,0.002211099723353982
82,0.0012293638428673148
83,0.0025719429831951857
84,0.009979691356420517
85,0.0033261748030781746
86,0.0023636084515601397
87,0.0028141376096755266
88,0.0031257078517228365
89,0.0008885120623745024
90,0.0005844408879056573
91,0.0010157569777220488
92,0.0020914410706609488
93,0.0009974202839657664
94,0.0018848588224500418
95,0.0032232932280749083
96,0.003503264393657446
97,0.0005543172010220587
98,0.0018260583747178316
99,0.001730707474052906
100,0.0017957242671400309
101,0.0015198555774986744
102,0.00039675054722465575
103,0.0018630858976393938
104,0.003164303954690695
105,0.002214863197878003
106,0.0043171970173716545
107,0.0020899218507111073
108,0.0041230726055800915
109,0.001753956195898354
110,0.0008686106302775443
111,0.0029995643999427557
112,0.004356015473604202
113,0.00035265242331661284
114,0.0005652713007293642
115,0.0006416980177164078
116,0.0016285051824524999
117,0.000908638583496213
118,0.00035664174356497824
119,0.00045822683023288846
120,0.0023020312655717134
121,0.0015310551971197128
122,0.0024892250075936317
123,0.0015286904526874423
124,0.0046941544860601425
125,0.004767576698213816
126,0.0018575401045382023
127,0.0017858879873529077
128,0.0011076974915340543
129,0.004295407794415951
130,0.0004913852899335325
131,0.004941620863974094
132,0.0023405435495078564
133,0.0014342254726216197
134,0.00031720305560156703
135,0.0003602807701099664
136,0.0033538714051246643
137,0.003441276727244258
138,0.007162083406001329
139,0.005500991828739643
140,0.0005971002974547446
141,0.0019047491950914264
142,0.006877874489873648
143,0.0036044714506715536
144,0.0016659939428791404
145,0.003544965060427785
146,0.004503941163420677
147,0.0005026389844715595
148,0.0020640159491449594
149,0.0020238894503563643
150,0.0016010545659810305
151,0.0030059823766350746
152,0.0007316455594263971
153,0.0020023491233587265
154,0.004126900807023048
155,0.003577551105991006
156,0.001171857351437211
157,0.0005968032637611032
158,0.0006514503620564938
159,0.0022375828120857477
160,0.002307446673512459
161,0.0022673748899251223
162,0.0009517616708762944
163,0.0032402731012552977
164,0.0030818297527730465
165,0.0008577403496019542
166,0.0010518583003431559
167,0.0006062746397219598
168,0.0040434966795146465
169,0.00035900872899219394
170,0.0029441153164952993
171,0.0011163287563249469
172,0.0017190001672133803
173,0.0016582198441028595
174,0.0008533272775821388
175,0.0009423180599696934
176,0.0018647204851731658
177,0.0009912146488204598
178,0.0030318403150886297
179,0.0008656173013150692
180,0.0045622787438333035
181,0.005428785923868418
182,0.007036295719444752
183,0.0004985358682461083
184,0.0013661867706105113
185,0.005715672858059406
186,0.0004185439902357757
187,0.002286284463480115
188,0.0016870340332388878
189,0.0019164211116731167
190,0.0010492015862837434
191,0.000725782650988549
192,0.0009286415297538042
193,0.0006942637846805155
194,0.00700651528313756
195,0.009447159245610237
196,0.0016890146071091294
197,0.0004316568956710398
198,0.00023186054022517055
199,0.00035858788760378957
200,0.001451978925615549
201,0.002959845820441842
202,0.0048549603670835495
203,0.005958955734968185
204,0.0007423183415085077
205,0.0011137156980112195
206,0.0032957543153315783
207,0.008891131728887558
208,0.006904574576765299
209,0.0036463586147874594
210,0.00025490918778814375
211,0.0035781539045274258
212,0.0007211759802885354
213,0.0005458524683490396
214,0.0020621358416974545
215,0.0014971827622503042
216,0.00043352096690796316
217,0.0010614468483254313
218,0.0008364806417375803
219,0.002720465650781989
220,0.0023392627481371164
221,0.0005989664350636303
222,0.003957910928875208
223,0.0029287170618772507
224,0.0009658228955231607
225,0.0006411512149497867
226,0.001276763272471726
227,0.0042510065250098705
228,0.0008542266441509128
229,0.002272633835673332
230,0.004613014403730631
231,0.0006212572916410863
232,0.002573592122644186
233,0.001184850581921637
234,0.0018290920415893197
235,0.005711783654987812
236,0.0056308540515601635
237,0.002006920287385583
238,0.00025233806809410453
239,0.008128227666020393
240,0.007497785147279501
241,0.001183970831334591
242,0.002675208728760481
243,0.0018900204449892044
244,0.0008904183632694185
245,0.0015834668884053826
246,0.005310966167598963
247,0.0008332240977324545
248,0.0012754491763189435
249,0.0036186394281685352
250,0.0029927862342447042
251,0.0005197118152864277
252,0.0006421486032195389
253,0.0004175128124188632
254,0.0018067100318148732
255,0.00041297750431112945
256,0.00018403230933472514
257,0.000656697666272521
258,0.008029259741306305
259,0.0016441637417301536
260,0.0011618072167038918
261,0.0021503057796508074
262,0.002676272764801979
263,0.005146312527358532
264,0.0013146627461537719
265,0.0009942679898813367
266,0.0014317608438432217
267,0.00023839189088903368
268,0.0014788898406550288
269,0.009078504517674446
270,0.005818497389554977
271,0.0002341165964026004
272,0.00034880140447057784
273,0.0025238830130547285
274,0.0029511945322155952
275,0.0006442464073188603
276,0.004131622146815062
277,0.011254512704908848
278,0.006225326098501682
279,0.0009644581004977226
280,0.005514230113476515
281,0.0035582685377448797
282,0.003237171797081828
283,0.0018835447262972593
284,0.0021419969853013754
285,0.0010364014888182282
286,0.0028010630048811436
287,0.001990525983273983
288,0.002216106979176402
289,0.004085084889084101
290,0.007503332570195198
291,0.005835275631397963
292,0.0029043788090348244
293,0.0008630531374365091
294,0.0017096176743507385
295,0.001959323650225997
296,0.0016544666141271591
297,0.0008754014852456748
298,0.0003621706855483353
299,0.0016826444771140814
