t,relativeL2
0,6.3352614116398076e-09
1,6.268438115627959e-09
2,0.02246348459558931
3,0.028266260185100457
4,0.033683972420040724
5,0.03680645636472409
6,0.039419906618676545
7,0.0435228166149122
8,0.04588134031360861
9,0.050379679941835585
10,0.05197163678284636
11,0.0550247562585393
12,0.05838198538824289
13,0.062255106730474394
14,0.06592527860634884
15,0.06869699073008405
16,0.07148644877626915
17,0.07324437866997617
18,0.07705630401381638
19,0.0772934426974773
20,0.07948683462777872
21,0.08090026955003957
22,0.08592461322814644
23,0.08576102999780132
24,0.09233073711237216
25,0.09574437154566386
26,0.09753313217208456
27,0.09782345879400968
28,0.09795805281040199
29,0.09931197933800193
30,0.09848536099017588
31,0.10052427874052657
32,0.1019816974294155
33,0.10333764810335565
34,0.10494495086717871
35,0.1066759829085767
36,0.10800122678698726
37,0.1112106323558465
38,0.11499429675582679
39,0.12233248103862926
40,0.1235851799915491
41,0.12793378244198908
42,0.12898876705380935
43,0.13312024121345986
44,0.1339042675217951
45,0.1362060238726584
46,0.13984826679376186
47,0.14260737537600288
48,0.14624489029560397
49,0.15084166001386382
50,0.15297948897286673
51,0.15638688130414388
52,0.16115477217271104
53,0.16623463658894239
54,0.1714222188811317
55,0.17682116837441259
56,0.18140585434222595
57,0.1844972177383042
58,0.1889564776501058
59,0.19173705823971474
60,0.19390413148947397
61,0.1974902230797546
62,0.20179755403302171
63,0.2041939197645457
64,0.21043592360091984
65,0.2160465963016702
66,0.22048682815667642
67,0.2256976906547664
68,0.22782204918353005
69,0.23344964377041527
70,0.23496690356931169
71,0.23692557067729436
72,0.23550483600357888
73,0.23743940184645956
74,0.23829679633675172
75,0.2394958285199912
76,0.24192086758830678
77,0.2431021051245463
78,0.24425946954540564
79,0.2468224856922029
80,0.2462791660945777
81,0.24644403070451612
82,0.2455432170211558
83,0.24543047072225166
84,0.24343822322272055
85,0.2435689290255478
86,0.2433703096320618
87,0.24584483798918408
88,0.24948117449545654
89,0.25115881731641754
90,0.2552708723101309
91,0.25750738709389326
92,0.26033080123930813
93,0.26077517697884967
94,0.26330119981394523
95,0.2637619260318094
96,0.2644855314170882
97,0.26305994550031847
98,0.2635893552660325
99,0.26376937643942294
100,0.2632973797912727
101,0.2657066140434942
102,0.263997846541764
103,0.2643221397531505
104,0.2641077372148587
105,0.2635724627181795
106,0.26376529368339113
107,0.2636400387509698
108,0.2631566818683544
109,0.26316845989553905
110,0.2648878481966087
111,0.26516225840495283
112,0.26584556290251127
113,0.26704993018875306
114,0.26783770368538645
115,0.2683034071987394
116,0.2671679565316423
117,0.2691200139297178
118,0.26663382761594323
119,0.2651634114589316
120,0.26350999149996507
121,0.2607316782760455
122,0.25947576998225486
123,0.2579682290482779
124,0.256336638509552
125,0.2558565139591526
126,0.2571871199333749
127,0.25621598221264347
128,0.25748657364205635
129,0.25731443310840224
130,0.2581747898180483
131,0.2586722265743367
132,0.25693911971031363
133,0.2551537905572147
134,0.25535663803449127
135,0.2536431527318565
136,0.25115198588732324
137,0.2515782944273513
138,0.2517922600003346
139,0.25442158185499875
140,0.25653316351000016
141,0.25878507544269974
142,0.2592529901286003
143,0.257762119661575
144,0.25752473781360025
145,0.2568117466183143
146,0.25554913057792084
147,0.253453544954336
148,0.2532765632080046
149,0.2516724291457303
150,0.25237589616871514
151,0.254101404318463
152,0.25555580322572685
153,0.2597012284702741
154,0.2618759232001193
155,0.26488136290829944
156,0.26797691358800324
157,0.2713758465845522
158,0.27179311673229056
159,0.2727711988804098
160,0.27233533004394705
161,0.2722542098903356
162,0.27279422586540114
163,0.2723890604276484
164,0.27266494623449306
165,0.2742235117761408
166,0.275696972590363
167,0.27905194434587144
168,0.2794481743177584
169,0.28083318073969976
170,0.2797578269969344
171,0.28202607888442616
172,0.2818115747668394
173,0.2843640632519288
174,0.28397905550429053
175,0.2830804003378221
176,0.2839866474993315
177,0.2843980641799806
178,0.2873355715887381
179,0.28862429620417374
180,0.29013859726562424
181,0.29079281189839357
182,0.29187681979640445
183,0.29310217969495495
184,0.2926644182203131
185,0.2952430316482934
186,0.2960546131605642
187,0.29460370833983374
188,0.29444101911785886
189,0.29534630257486477
190,0.2968552244849496
191,0.29864064527411033
192,0.301046849418559
193,0.3032657909092455
194,0.30397054252849515
195,0.3042523551657186
196,0.30480558877348013
197,0.3058722569316534
198,0.30515949770585465
199,0.3027428840368904
200,0.3043057213939337
201,0.3035828889173693
202,0.3044202820861454
203,0.3049573021639034
204,0.3056926182920259
205,0.30707315817790626
206,0.3090056182953685
207,0.31029170270724277
208,0.3114932098742475
209,0.31256298112094544
210,0.3144250113168988
211,0.31582389664591615
212,0.3160728429754626
213,0.31753394554803077
214,0.317039923901784
215,0.3177857893562938
216,0.3180710332073364
217,0.3186696647257483
218,0.3194828559232651
219,0.31819993555235865
220,0.3191906576199286
221,0.3186624467012453
222,0.31758996031005093
223,0.31689260186337653
224,0.31586417344694623
225,0.315411558359861
226,0.315360441863563
227,0.3158594249629032
228,0.3176126676723455
229,0.3201936699150186
230,0.32056254621530444
231,0.3193032605642206
232,0.3185440517458385
233,0.3190458624790158
234,0.318197186529904
235,0.3165729132391035
236,0.31723959260556917
237,0.3172703471983633
238,0.31809203655165347
239,0.31889015895989214
240,0.3208634318845039
241,0.3226374312121662
242,0.3232733614244575
243,0.3242954891669117
244,0.32131791747830446
245,0.3215250112872024
246,0.3207675264300839
247,0.32222288958850925
248,0.3206901120915474
249,0.32076282901679604
250,0.31939043282257684
251,0.31729661653895014
252,0.3151845976300353
253,0.31297379966740124
254,0.31030958684489623
255,0.30950471982280975
256,0.30684392045457515
257,0.3040762570041024
258,0.3019590888301617
259,0.30073842454187727
260,0.2975999197648318
261,0.29538099078177693
262,0.29179897585171927
263,0.2909338047555564
264,0.2881461520938673
265,0.28651802645231134
266,0.283558367281237
267,0.28370330389046805
268,0.2814921133896451
269,0.280649893322571
270,0.2816070911783558
271,0.27789723847027936
272,0.27717406299174213
273,0.2768063375498251
274,0.27814926536471846
275,0.2793754133666558
276,0.2795495932083007
277,0.2796080764579858
278,0.27850104698609
279,0.2779672375396045
280,0.2769333960204433
281,0.2771649189280577
282,0.2765670803710807
283,0.2747385485819174
284,0.27365519915410585
285,0.2749949326937045
286,0.27607428610348694
287,0.27645140644151306
288,0.2787642434971874
289,0.2809228301327651
290,0.28299240012857707
291,0.28626228965367123
292,0.28891090971275213
293,0.29060999755266326
294,0.2928196593274764
295,0.29686852794929847
296,0.29892613713564736
297,0.3011409220635229
298,0.3044334671280131
299,0.3045594146418569
300,0.3071674117097026
301,0.3071214747800129
302,0.30822128051687553
303,0.3090385111823399
304,0.3090526026860782
305,0.3087363493457197
306,0.3100539962231878
307,0.3098868514400181
308,0.31000081878682095
309,0.31108796571450514
310,0.31246963538738337
311,0.3143028677885965
312,0.3171837853484443
313,0.3183389268593121
314,0.31952968763493583
315,0.3190157727518566
316,0.3197824696951842
317,0.3181758603771896
318,0.31685857580794324
319,0.31546822226623716
320,0.312274246390028
321,0.3123006781709883
322,0.30886292320480513
323,0.3071662200217013
324,0.3027836204266588
325,0.2998295466224756
326,0.2977994897399863
327,0.29571121497562797
328,0.2953975513230496
329,0.29291348867242395
330,0.28968466356940403
331,0.288384897291236
332,0.2859513200208166
333,0.2831644005910659
334,0.27942172512009067
335,0.27468529555899635
336,0.2725764097223666
337,0.2691552554440208
338,0.265471701060154
339,0.26340755255895365
340,0.26067878539387856
341,0.257457673535901
342,0.25434627774316
343,0.2528964244934788
344,0.25261537797108485
345,0.2520201191010353
346,0.2503827753683107
347,0.24737550085356994
348,0.24657793225212876
349,0.24671462560158408
350,0.24507642916881095
351,0.2450924744396322
352,0.24286242863261204
353,0.24104384110241514
354,0.237297683768321
355,0.23432061517130923
356,0.23101241270510461
357,0.228217037653615
358,0.22488814130422785
359,0.22272588068444715
360,0.2221082032430083
361,0.22013141743386602
362,0.21885679188156543
363,0.21828321490438152
364,0.21706551131111895
365,0.21549010944112748
366,0.21377613510041207
367,0.21352122903048384
368,0.21286482722106026
369,0.2129933334822327
370,0.2152496016976907
371,0.21530349400674798
372,0.2178604518814144
373,0.22083253269372427
374,0.22264145483690348
375,0.22448748507861346
376,0.22598625103859374
